1 2 0
3 4 0
5 6 0
7 8 0
9 10 0
11 12 0
13 12 0
14 15 0
16 17 0
18 19 0
20 21 0
22 23 0
24 25 0
24 26 0
27 28 0
29 30 0
29 31 0
32 33 0
34 35 0
36 37 0
38 39 0
40 2 0
41 42 0
43 44 0
1 45 1
46 47 1
7 48 1
9 19 1
49 50 1
51 52 1
53 54 1
55 56 1
57 58 1
24 59 1
27 60 1
61 62 1
63 64 1
65 66 1
67 68 1
69 70 1
71 72 1
73 74 2
75 76 2
77 78 2
79 80 2
81 82 2
83 84 3
85 86 3
87 88 3
87 89 3
90 91 3
92 93 3
94 95 3
96 97 3
98 99 3
100 101 4
87 102 4
103 104 4
105 106 4
107 108 4
109 110 4
20 111 4
51 112 4
27 113 4
114 115 4
116 117 4
116 118 4
119 120 4
38 64 4
121 122 4
123 124 4
125 126 4
127 128 4
129 130 4
131 132 4
133 134 4
135 136 5
83 137 5
138 139 5
73 140 5
100 141 5
142 143 5
144 145 5
146 147 5
7 148 5
7 149 5
150 151 5
14 152 5
153 47 5
154 128 5
155 156 5
157 158 5
157 159 5
160 161 5
162 163 5
164 165 5
166 167 5
168 169 5
170 171 5
32 172 5
32 173 5
174 175 5
176 177 5
178 179 6
83 180 6
100 181 6
7 137 6
7 182 6
105 183 6
20 184 6
185 186 6
187 188 6
189 177 6
57 190 6
157 191 6
192 193 6
168 194 6
168 195 6
196 197 6
65 198 6
129 199 6
200 201 6
202 203 6
204 205 6
206 207 7
208 39 7
144 209 7
87 210 7
211 212 7
16 213 7
214 215 7
216 217 7
153 218 7
219 220 7
154 221 7
222 223 7
116 224 7
225 220 7
226 227 7
228 229 7
230 231 7
232 233 7
83 234 8
73 235 8
146 236 8
9 237 8
105 238 8
49 239 8
49 240 8
49 180 8
241 242 8
243 244 8
157 245 8
192 246 8
247 248 8
249 250 8
116 251 8
252 76 8
253 248 8
254 248 8
255 248 8
256 122 8
257 258 8
259 188 8
208 39 9
9 260 9
261 262 9
263 264 9
166 248 9
252 265 9
81 266 9
226 267 9
36 268 9
269 270 9
271 272 10
87 273 10
87 274 10
275 276 10
277 278 10
279 280 10
281 276 10
282 283 10
284 285 10
284 286 10
55 287 10
61 288 10
289 290 10
291 287 10
292 276 10
269 293 10
294 287 10
295 296 10
297 298 10
299 300 11
301 302 11
303 304 11
305 306 11
307 308 11
73 309 11
100 310 11
9 311 11
312 313 11
314 315 11
13 308 11
316 317 11
107 318 11
49 319 11
320 321 11
20 111 11
322 323 11
24 324 11
192 325 11
27 113 11
90 137 11
94 326 11
65 327 11
328 329 11
129 197 11
330 331 11
330 313 11
332 302 11
333 102 11
334 102 11
335 336 11
337 338 11
339 340 11
341 342 11
343 344 11
345 346 11
347 113 11
299 348 12
349 350 12
87 351 12
77 352 12
353 354 12
241 355 12
20 21 12
356 357 12
358 359 12
185 360 12
361 362 12
363 360 12
363 364 12
263 264 12
157 365 12
366 367 12
164 238 12
368 369 12
370 371 12
170 372 12
373 122 12
374 375 12
374 375 12
376 377 12
41 378 12
379 380 12
381 56 13
381 382 13
87 383 13
87 384 13
7 385 13
